Customer Name,Title,Comments
Lauren,Excellent,amazing massage. So professional and relaxing.
customer,amazing massage,Easy to use. Therapist arrived on time. Was friendly and professional. Great massage.
Peter,Easy to use,"Blys is a great app to be able to book a massage in the comfort of your own home. Each therapist has been amazing and professional, with a different experience each time."
Kane,Blys is a great app for at home massage,Sarah was amazing and even took the time to share some simple daily stretches for my back and arms. Will be booking again soon!
Kim,Sarah was amazing!,"Wonderful Massage with Gemma, spot on time, professional in every way - HIGHLY RECOMMEND!!!  The BLYS concept work so well - like bring the ZEN and a little Thailand to my doorstep - LOVE LOVE LOVE!!!"
customer,Wendy is great,"Best massage I’ve ever had,"
Helen Chadwick,TOTAL Blys!!!!,"It was so easy to book and massage therapist was at my place within a couple of hours,"
Libby,Best massage I’ve ever had!!,"I can’t recommend this service enough, I will only use Blys for massages from now on."
customer,Amazing service and communication from…,"Thank you, Thank you, Thank you!!"
"Scott, Castle Hill",Massage,Amazing service and communication from all ends and super easy having someone come to your home
Carly,Love Blys,"Great experience all round, quick to book & a great therapist."
customer,Love it highly recommend it,"Love Blys! I woke up unable to move my neck and couldn't get to a masseuse. I found Blys online, but I wasn't sure about it as it sounded too good to be true."
customer,Awesome company to deal with excellent…,"It wasn't! It was amazing! The masseuse was on time, professional and i didn't have to lift a finger as they brought everything with them."
customer,Fantastic customer service and an…,The massage was one of the best I've ever had!
customer,"Good service,thank you",Blys is a convenient and easy way to book a mobile massage. My husband and I have used this service a few times already and we have not been disappointed with any of the therapists. The app is easy to use and massages can be booked last minute and they are usually accepted quickly. High recommend.
Tiffany Jull,Highly convenient,Really easy to use and to book treatment. Response extremely quick and organised. Therapist Stephen was excellent! Highly recommend
Customer,Excellent!,Excellent massage. Very convient service. Thankyou
Rodney,Excellent massage,"Excellent booking system, practitioners on time, friendly and organised. High quality service all 'round. I would definitely recommend Blys and use them again!"
Emma,Highly recommended,"Easy to book, appointment times that suited me with a professional and friendly massage therapist."
Cassie,Easy Peasy,I live in Australia and my family from NZ got me a massage.  It was so easy to book and confirmation was received quickly. It’s a great idea !!  Def 5 stars from me 😊
Fiona Maguire,Great present idea,Easy to navigate. Always on time and a fantastic massage.
William,Worth paying that bit extra for quality.,"Not being someone who has had many massages, I was a bit apprehensive but this deep tissue remedial massage was fantastic. Egert was very professional and an expert in knowing how to deal with my aches and pains. Also a calm and quiet presence. Thoroughly recommended."
Rebecca Casey,Easy to navigate,Absolutely brilliant.  The therapist was very good and came on such short notice. Great value too. Highly highly recommend
Vanessa,Best massage ever.,Wonderful relaxing massage.  Sander was friendly and professional. I'll book her again!
Purt,Absolutely brilliant,"Downloaded and tried the app. Found it to be an easy, reliable and convenient way to book a professional massage at a time and location that suited me.  Highly recommend it and will be using it regularly from now on."
customer,Wonderful relaxing massage,The service can only be described in one word: sensational!
Graeme,Downloaded and tried the app,Our Blys experience was excellent and would recommend it to others.  Thanks.
Beni Halvorsen,Sensational stuff!,"Wow definitely recommend. Great customer service, very easy to book online, quick responses. This is my 2nd massage service with Blys, both therapists have provided fantastic massages as requested. Such a convenient service without leaving your home."
customer,Fantastic service and excellent…,Fantastic service and excellent masseuse.
Bernadette,Best Massage,I came across the Blys website via Google during the Christmas break.  I really want expecting to get an appointment on the day but I was truly relieved when I got a response and a masseuse arrived on time in just a few hours.  It was one of the very best massages I've had in a while.  Will definitely be using Blys again.
isabella claus,Very enjoyable experience,Very enjoyable experience. Comfortable relaxing very professional. Perfect for mums who cant find the time to get out!
Weg Irl,Absolute Blys!,We’ve had excellent experiences both with booking and therapists.
customer,Was great experience,"Just what we needed, perfect!"
customer,Just what we needed,Awesome service thanks
customer,Awesome,"I was heavily pregnant and the thought of having to leave the house, find a park etc was too overwhelming, although everything was hurting so I needed some relief. Fortunately I found Blys. I had a therapist who came to my home within a few hours. My therapist was amazing and so kind. I highly recommend this service."
Mariaa,heavily pregnant - instant relief,Marisa
customer,Massage therapist was at my door in…,"Massage therapist was at my door in under two hours after booking - on Christmas Eve! Fantastic massage, fantastic service. Cannot recommend highly enough."
Amanda,Excellent service,Excellent service. Excellent massage. I'll continue to use this! Thanks guys.
Victoria,Love the convenience,Great customer service and wonderful massage! 😊
Cathy,wonderful experience,BLYS is very fantastic Massage on demand Service at YOUR Door step for YOUR Relaxation. I strongly recommend for everyone. Get massage ANY TIME and any WHERE from 8am to 11pm 😁👍
tamer  tasci,Fantastic service!,"As a mum of a 12 week old, having the luxury of an in-home massage is wonderful. Makes it possible to treat myself without worry. I got an excellent massage therapist who gave me a lot of much needed pain relief."
IME KING (MASSAGE KING),AWESOME LOVELY FANTASTIC,Great massage easy to organise on time every bit of the process was painless.
Milla,Highly recommended,"Very professional, really enjoyed"
James,Great massage easy to organise on time…,Fantastic massages. Highly recommend. We had Richard and Adriana.
customer,Very professional,Quite an amazing experience at the convenience of your own place
Jennifer England,First class massage.,Perfect . She understood trigeminal neuralgia
relaxed,Unbelievably good massages,What an amazing app - easy to book top quality massage therapists available in the comfort of your own home!
Robbie,Easy all round,"Easy to book, on time and very professional!"
Orah,As a massage therapist I’m so happy to…,As a massage therapist I’m so happy to have someone taking care of client bookings. It takes the majority of the stress out of my work so I can just focus on delivering a quality massage. This is how it should be done. Thank you 😊
Annmarie Farrar-Fail,Amazing convenient service with a quick…,Amazing convenient service with a quick response and great masseuse I would highly recommend Blys
Kristian Jaakkola,Happy regular Blys client,I find Blys a great service. It's easy to get a good massage at your place when you need it and at a reasonable price. Some therapist also accept health fund rebates. They are very responsive and service-oriented. Had a few times issues but they were all resolved in the end and with no cost to us.
customer,Very professional,"Very professional, therapist have good skill, reliable business. Thanks"
Lisa,Blys was easy to use and I had a brilliant massage.,Blys was easy to use and I had a massage appointment confirmed within 15 minutes  after downloading and setting up the app. My masseuse was the best!! Absolute professional and knew her stuff. I had the best massage I’d had in years and will definitely be using Blys and Karisa again. Very satisfied!!
customer,What a fantastic massage and lovely…,What a fantastic massage and lovely therapist!!
customer,Fantastic,Fantastic just what I wanted
customer mark,telly was fantastic,Great experience. Was very impressed
Glen,Great experience,Blys has given me the ability to earn extra money and work my own hours
JC,Blys has given me the ability to earn…,I enjoy working with Blys
Georgina,Awesome service,"Awesome service, great massage can't ask for more. Definitely recommend."
customer,The Therpist was very professional and…,Thanks Georgie
customer,Impressive service,The Therpist was very professional and made me feel relaxed instantly . Great service will definitely be a returning customer !
customer,The service was exceptional,"Impressive service, was able to book a same day massage. The therapist was punctual and professional and the set up was nicer than some bricks and mortar massage places! I will definitely be utilising this service again."
Rod A,Great massage,"The service was exceptional. With out therapist waiting half an hour for my pregnant friend (whose massage I had booked her for) and then extending the massage to half an hour later. They were lovely, and professional. The only issue was the massage was too gentle and didn't really target aches/clear out knots."
Kimberly,Amazing service,"Great massage. Fixed my sore neck, shoulders and back. Easy to book. On time arrival. Thank you."
customer,So convenient....the Uber of massage.,Amazing service! My massage therapist was fantastic! She helped relieve pain that I had in my neck and back. Will 100% book again!
Mr. Donna Brabham,So quick and easy to use the app,So convenient. I don’t need to leave the house. Plus the therapist are really high quality. Will book regularly now.
Stephanie King,Massage was one of the best I've had!,Massage was one of the best I've had!
customer,Can’t believe I hadn’t used Blys…,Highly recommended!
customer,Good service,"Can’t believe I hadn’t used Blys before! Could not have been happier with the service or the therapist (Francine). Massage was one of the best I’ve ever had, equipment was high quality and clean, therapist was very professional and the whole process was simple and easy! Will be using again and buying vouchers as presents! Thank you!"
Di,Lovely,"Lovely, relaxing, professional service"
chloe jobson,Amazing staff & service,Amazing staff & service- Sarah & Pawel were fantastic!
customer,Great service i will definitely be…,Great service i will definitely be using again.
Caryn,Love this service,Love this service! Rowena is the best!
Cassie,Excellent massage,Excellent massage! And an easy booking process
customer,On time and great staff,On time and great staff. Tanks
Dan,On time..,On time... and a good massage. Thanks
TJ,Yisheng was really great,"Yisheng was really great, very professional and polite."
customer,I really enjoyed my massage especially…,"The app however did not load properly, the tracking said he was going to arrive 20 minutes late then 2 minutes before he arrived it updated to show he was about to arrive."
new client,After a full day of suffering intense…,I really enjoyed my massage especially in the comfort of my own home
Megan Sims,I've used Blys a few times over the…,"After a full day of suffering intense panic attacks, it was 6pm and I urgently wanted a massage at home to help me calm down, my alternative was to drive myself to ED. Instead I just googled ""urgent massage at home"" and Blys was the first to pop up and as an added bonus, they had Afterpay as a payment option. I saw they had therapists available until 11pm so I quickly submitted my details and within about 30 seconds (or less), I received a text confirming who my therapist was and that they will be attending at 7.30pm. Once I received those details I had to go back into the app to confirm the booking and seamlessly made my payment using Afterpay. I received a notification at 7pm that my therapist was on his way and I even had the option to track his location. Once he arrived, he was extremely polite, professional and understanding of my situation. The massage was excellent. He was very knowledgeable and is obviously extremely skilled in the field. Excellent communication and customer-service skills and great at-home client etiquette. I still have work to do on my anxiety but I woke up today feeling less anxious and had an excellent night sleep. This is an excellent app and I have no reason not to use it again. Thank you"
customer,Would highly recommend this app!,I've used Blys a few times over the past few years and always fantastic
Seb Harper,Great massage and app is clear,Would highly recommend this app!
francesco,best massage ever thank you,I work 12 hour days and finding the time to call and book a massage let alone drive our of your way to attend their parlour becomes quite difficult. Blys allows you to place an order online via an application on your phone and the massage therapist arrives to your home with all equipment necessary. Selecting the type of massage and time is incredibly easy and you can also track your therapist when they are on their way. If you wish to see the therapist upon last visit you have the ability to save them and rebook which is fabulous! I am currently pregnant and it is superb being able to book some again who knows your body.
viv worsfold,A1 service,"Great massage and app is clear, informative, and does exactly what it says. Great work."
customer,Fantastic massage,was very happy with my massage.. relaxing and very professional.
Nikki G,Excellent service,Easy process from booking to payment to massage. Therapist was professional - highly recommend this service. Will use again!
customer,Couples massage,"My husband and I booked a couples massage, and loved it. We booked it for 6pm on a Sunday and the staff were prompt and smiley. Both were very professional and gave great massages. We will be booking again."
Shelley Turner,Amazing easy booking process,"Easy booking process. Therapist was friendly, knowledgeable & professional. Reliable with time"
Linda,Great service of a massage right in the…,Great service of a massage right in the comfort of your own home. Especially handy when heavily pregnant and not wanting to drive and walk around. Therapist was professional and courteous.
Jordan,Great user experience,Great user experience.
Seanne,Great guidance and information for my…,Easy to use.
Adrian M,Exceptional platform,Great guidance and information for my first day on the job! Very helpful.
Amy - Customer,I love Blys,Exceptional platform! Service and professionalism from your therapist was second to non!
Olivia Sturgess,Great experience - Spa at your own home!,We look forward to continuing on our blys journey! ⭐️⭐️⭐️⭐️⭐️
Vanessa Sabatta,"Fantastic communication, Amazing Massage , Highly Recommend",I am a massive lover of Blys.
Xtine,Highly recommanded,"Never one bad experience with Blys. Professional massages in the comfort of your own home, what more could you ask for :)"
Martin,As a therapist,Such great experience.The therapist was very professional and the range of time available is great because there some outside work hours which works great as I can get a massage after work.
Catherine,Healing Hands,"Fantastic communication, a professional company from the start to the end. Best massage I have ever had , all round, a great experience. Would recommend and will use again."
customer,Fast and reliable service,"Got my remedial massage at my own place and felt more relax too The booking system is very quick and efficient. I got good therapist,Sally X, to fix my bad back. Good value of money and highly recommanded."
Erika,Much needed service,"Since starting work as a therapist with blys it has been a great experience everything works smoothly going to a job and not having to worry about invoicing, money, finding clients and working when you want everything I like working For blys"
customer,Excellent!,I would recommend working for blys if your a therapist
AH,Richard was a great therapist,"Punctual, Professional and Healing"
customer,Great service,Awesome to be able to receive a massage in the comfort of you own home by an experienced and qualified massage therapist.
Sharon A,Brilliant fast booking and service,Excellent! Highly recommended
Nicole K D,Therapist was available at short notice…,Richard was a great therapist! Professional and an expert in his field. I absolutely recommend him.
customer,Everthing was great except the booking…,Brilliant fast booking and service.  Noni was incredible would highly recommend  her and Bly!
Amanda Eaton,Extremely poor experience,The office staff were purely money orientated.
customer,Great massage therapists in Brisbane,"I was called so many times during business hours, which was a little unnecessary."
customer,Fast service from booking to…,"I was extremely disappointed when called to provide payment details after I had already provided them online. I was away from my wallet at the time of the call as it was hours later, and told ""we can't find your details, without payment we'll cancel your booking."" Due to having a sport injury i needed the massage and my normal therapist was unwell. I had to leave work to get the card details, only to be informed ""that everything is ok, we found your payment details."" A classic example of your staff failing in their diligence at the customers expense."
customer,Massage was excellent,"So overall, the staff are purely money orientated, lacking diligence that led to an extremely negative experience as they lack respect for your customers."
customer,Great professional massage,"Unfortunately due to the extremely poor customer service, I will not use this service again, nor will I recommend it to anyone. It is unfortunate that the office team are such a let down, as the experiance that the therapist provided was fantastic."
Kelly Kassapakis,Absolutely relaxing and pure bliss,"I could not fault the therapist, Vanessa was amazing."
Katie,This may become my new addiction ❤️,"Great massage therapists in Brisbane, however difficult to get someone to come on the same day."
Danielle Dixon,Fabulous experience Can’t wait to book again,Fast service from booking to appointment.
customer,Loved my massage!,Punctual
ClaireB,"Consistently excellent, easy decision to book again and again",Friendly
Cheryl Le Brun,The Staff endeavoured to get someone…,Great massage
Tereza,Remedial Massage,Easy to book
Dee,Blys are wonderful to deal with,Massage was excellent. Just wish that each therapist had their provider number listed so I could claim it on health insurance.
customer,Excellent support and a brilliant idea!,"Great professional massage, well done"
Eddie,Good first experience!,"I highly recommend Blys massage they are professional, the massage therapist was absolutely fantastic, kind and gave one of the best massages ever !!"
Ash,good stuff,I have used Blys a few times now and have been happy every time .  Last night I had another massage and was lucky enough to meet Don. He not only was amazing at what he does but was super friendly and a complete gentleman. The only negative part is knowing how busy he is and knowing I won’t find anyone else as good 👌🏼👌🏼
Eugenie,My friend and I were very impressed…,Fabulous experience therapists Cert professional and on time. Can’t wait to book again!
pascha,Very professional service by all means,Loved my massage!
customer,wife was very impressed with service,My masseuse Sally was so great - she taught me about my different pressure points which was really interesting and the massage itself was fantastic. Highly recommend.
Annie,Easy to use,"I’ve been using Blys for a while for regular  massage therapy. All therapists, though differing in style are very good at what they do and the service is professional and considerate. It’s a easy decision to book as I know my purchase will be returned to me in service."
Nicky,Just started with Blys seem to be a…,Just started with Blys seem to be a lovely company very efficient good communication.
customer,Telly was amazing,Telly was amazing! Got all my knots out of my stressed body and made me relax in less than 5 min! Super friendly super professional. Would highly recommend her
Laura,Simple to use and great therapists,Simple to use and great therapists. Love it.
Natasha,Highly recommend!,My pregnancy massage was absolutely 10/10! Customer service and timelines was spot on also :)
Eddie Saffar,Blys has been so very helpful has given…,Blys has been so very helpful has given me lots of information regarding the app and also sent videos on how to treat your customers fantastic company to work for
cara,No matter where you are,I Was in so much pain that when I went away for the weekend I needed a massage practically on arrival. The hotel couldn’t provide me a massage short notice so I used the blys app and was able to get someone to come out to the hotel.  My therapist Gemma was amazing. That’s why I booked her for the next night as well!
"Paul Watkins, Allawah....customer",Thank you for this opportunity.I…,Great professional service!!
Jodi,KC was a fantastic therapist,"Thank you for this opportunity.I received a relaxing massage through Blys; I think last year. As I have limited funds, every relaxation experience counts. Pleased with my previous experience, I ordered another Swedish Relaxation from Blys massage - for 90 minutes. I ticked the appropriate box, requesting a female therapist, as I did last time. The therapist arrived at my home punctually - a young man. It was not what I requested on the website! When I expressed my disappointment, the young man contacted his office to relate the disappointment on my behalf. I was told, via phone, that I ticked the inappropriate box. I maintain I certainly did not. I was then told from the office, that if I didn't go ahead with the treatment, I would still have to pay the fee. My treatments are, because of limited finances, few and far between; and I go to great deal of trouble in my home studio to provide a pleasant environment for both me and the therapist. In spite of the young man being pleasant and efficient, I was extremely disappointed - the treatment was NOT what I requested. Unfortunately, once Blys has my money, there is nothing I can do. I told the woman at the office that it would be my last order with Blys. No stars from me.!"
Nicole,Joanne was amazing as well,KC was a fantastic therapist. She knew how to work on the areas that needed it most. Booked her for a second visit straight away. Highly recommend.
Gen Britton,Great massage!,"Joanne was amazing as well,  this is the 2nd time I have used the service I and I would be definitely rebooking . Very happy with the massages I've received so far. Thank you"
customer,Easy to use,"Easy to use, easy to book and convenient"
Bec,perfect massage.,perfect massage. very relaxing.
customer,Easy to use app enabled me to organise…,will definitely recommend to others
customer,Wonderful,Easy to use app enabled me to organise a massage with only a couple of hours notice. The masseuse called when she was on her way and the app enabled me to track her location. The massage itself was great and I definitely felt more relaxed afterwards.
Nisa,Very tailored to my needs,"Wonderful, very detailed"
DIMITRI,Great efficient service,Very tailored to my needs. Attentive to area that needed to be worked on.
customer,The performance of your staff were very…,The performance of your staff were very helpful. Thanks for sending someone with very skilful. I do recommend to a friends 👭. Thanks joana
Warren Bennett,Jasmine is excellent and we look…,Jasmine is excellent and we look forward to having her back in a couple of weeks
Vivian,Stephen J at Blys,"Stephen J is very skilled in Remedial Massage, Traditional Chinese Massage and Acupuncture. My session was after a long haul flight and I felt so much better afterwards. Can’t recommend Blys or Stephen J. highly enough, it was a great experience!"
Emma,"Great service, 5 stars",Great service! Will be using them again in the very near future!
Sonja,great service online and on the phone…,great service online and on the phone thanks for providing a great service In home massage fantastic once again thanks
Dora,Loved it,I felt wonderful after the massage. Thank you
Sophia,Punctual and professional.,The massage therapist were professional and provided a relaxing massage. The attendees of my event were very happy.
Tracy,Awesome experience,Awesome experience. Was kept in contact when they couldn't find a person for my appointment. Very professional. Thankyou.
Isaac Asamoah,Great experience,Great experience. Prompt arrival and skilled masseurs.
customer,definitely recommended,"convenient, friendly, good vale for money"
Peter Cottrell customer,I found Vanessa B to be EXTREMELY…,I found Vanessa B to be EXTREMELY wonderful and her knowledge and skills regarding Parkinson’s was OUTSTANDING.She made me feel totally relaxed and she was very THOROUGH .I will definitely be rebooking Vanessa B due to her amazing skills .Don’t spend money on shopping centre therapist as I have had many both here and overseas and I have to say Vanessa has been by far the BEST.Money well Spent !!!!THANK YOU Vanessa 💝
customer,So easy,I love the fact that i dont have to leavw my house
Dominic,"Convenient, secure, value","Convenient, professional, value for money."
customer,ridiculous fees.,"Nick was my therapist, and before going into the massage, evaluated and assessed my history verbally and performed needs based analysis."
Pam,Truly blissful,He targeted the areas I identified and was very experienced. I give Nick's service 5 stars.
MyTrustPilot,Just had my first ever Blys Massage…,"The Blys app from a UX perspective was easy to use, intuitive and gave me all the information that was required including updates and reminders. The avatars of the therapists were a huge plus from a security standpoint."
Melody,Rafat was very professional,"All in all, no complaints, great communication, accommodating very fairly for cancellations within certain time frames."
customer,Great Father’s Day present,Very happy with the massage but totally disappointed with the customer service. I wanted to bring our massages forward and was told it would cost me 50% of my bill to do this!!  That is ridiculous when your service is already expensive. I understand a cancellation fee but really don’t get how you can scare for trying to bring the appointment forward. Won’t be re in ending this company or use it again. Very disappointing.
customer,Blys Makes Massage Accessible Again,"Great service, efficient and awesome people. Massage was excellent!"
customer,Great service,"Just had my first ever Blys Massage from the amazing Fi thanks to my beautiful sister who arranged it from interstate. Fi was professional, caring and nurturing from start to finish. Highly recommend 🙏🏼"
customer,Great app and service,Rafat was very professional. Husband enjoyed the massage 💆🏼‍♂️ Very strong hands and fingers thank you 😊
MC,Best massage to date!,Wonderful experience- so professional yet friendly.
customer,Excellent service,Husband I I will definitely have another couples massage . No one misses out !
Sara,Therapist,Blys has made it so simple for us to take advantage of the many health benefits of massage: mental and physical. Our busy lifestyle and fatigue has prevented us from taking advantage of massage opportunities in the past. Not anymore! We love booking home visit massages. It’s the perfect way to end a busy or stressful day. Thanks Blys!
Michelle,5 Stars,5 Stars - Stephanie was wonderful.  So lovely to have a massage in the comfort of our own home.
S.S.,Great service,Great service. Professional and helpful.
Katie,Great service,Easy to book. Excellent concept. Thank you.
customer,I am very pleased with this service !,Not sure how to book specific therapists though or if its luck of the draw.
customer,It was great,I am very pleased with this service !! The massage therapist  was very professional  was on time and VERY VERY good . This service was so very convenient .It was nice to have a great massage  and not have to drive home . Just go to bed relaxed and slept like a baby .
Amanda,Emma was such a wonderful massage…,It was great would definitely recommend
Mike Hinch,The therapist Lisa Pirotta is very…,"Emma was such a wonderful massage therapist. She was friendly, professional and went above and beyond to make sure my massage targeted the correct areas. If I am in Adelaide again I will be requesting Emma for a massage."
Annmarie Kiernan,Excellent service,The therapist Lisa Pirotta is very professional and caring.
customer,Everything was great.,"Excellent service, massage was very relaxing, will definitely book another in the future"
customer,Great service,Great service. Arrived inside of two hours. Very professional.
customer,Great service,Good booking system and platform to organise massages.
customer,Excellent service!,Some of the therapists that have done my bookings are unprofessional and don’t really don’t do a proper consult and try to leave quickly as soon as you’re off the table.
customer,Good booking system and platform to…,Leigh M was awesome.
Ayu,Leigh M was awesome.,Will rebook her the next time I need a massage.
MARC,"Met our expectations, we'd use Blys again","We booked blys off a Facebook ad with a days notice for a couples massage and were matched with masseuses quickly. I was a bit nervous about how the experience would play out esp as it didn't quite follow the steps noted on the website (there was no trigger when they were on their way). However with 5 minutes until start time, both turned up, set up quickly and everything else mostly met expectations. The music was off a phone (so next time I'd grab our speaker) but the guys were both fantastic and we were really happy. They even went a few minutes over to make sure we got the full-time slot. We will use Blys again."
customer,Amazing service,Easy to arrange. One of the best massages I've had! Thoroughly enjoyed.
Christina Tramonte,Great service and communication,What a amazing service. On time.professional and the massagewas sensational. Telly my massage therapist was lovely and I won't be you g anywhere else in the future.
customer,Easy to arrange,"Me husband and me had a couple massage what an amazing experience so relaxing both our therapist targeted the spot definitely recommended, we both  can’t wait for my next massage."
Kim Fuller,Great service!!,Great service! So east to book and fantastic communication plus Marina was amazing!! Highly recommend Blys!
Tabitha,Effortless!,Thanks for such a effortless experience. I’ve had surgery recently and can’t drive so Blys made it so easy for me to get a massage within hours without leaving my bedroom! I will absolutely use it again!
customer,"Good massage, poor customer service",The massage service is usually good but the support system and customer service leaves a lot to be desired. I feel the support is offshored outside of Australia as it is hard to communicate with the workers and there has been a long delay between emails. I will revise my rating if I feel the customer service improves. I also had trouble booking a massage several times as no masseuse could be found.
Sergey V,Great app,Rating changed to 3 as issue was finally resolved after the founder intervened.
customer,Fantastic,"Great app, good value for money. The massage was very good, too"
customer,Fantastic service,"Fantastic, easy to use service and app, great!!"
customer,"Easy to book, will book again","Easy to book, easy to pay. Adam was great - really chill, totally fine with me being a bit of a ""mum mess"". He listened to what was going on (strained neck and then DOMS from training). Was able to sleep because of the relief. Will probably never go to a spa for a massage again. This was way too convenient."
Cyndie White,Awesome massage,Awesome massage. Great therapists. Definitely highly recommend. 👍🏻
Candice,Excellent on line service,Excellent on line service. Very professional therapist. Fantastic !!! Highly recommend Blys. I have used them even when I’ve gone interstate. 👍👍👍👍👍
Kim,Great new platform for massage services!,"Such a fantastic service! Super easy to use app, affordable, convenient and excellent massage. Will definitely be using again"
customer,Such a fantastic service,I was quite nervous but Adam was very easy to talk to and honestly it was the best massage of my life. Using the app was easy and it was very easy to call the hotline and clarify the booking. I was able to book the same day and the pricing is very good value for money.
customer,Best massage ever,"Blys Masseurs were on time, very professional and clean. Had the best couples massage and would definitely recommend this to my friends."
Brendon,Fantastic Couples Massage,"Booked a few times now & always been a great experience. Excellent therapists, quick & easy service. Recommend."
Jess,Booked a few times now & always been a…,Great app. Amazing massage
customer,Great app,I felt very uncomfortable as the guy massaging me was massaging in between my boobs. I’m still mad at myself for not telling him to stop. I was in a awkward spot at the time. I am traumatised  & so mad.
Anita,Great service,Will definitely book again. Very convenient.  Excellent service.
Kathleen,Excellent experience and well worth it,Instant releif
Sam,I’ve never been so relaxed,I’ve never been so relaxed. Thank you for the perfect massage experience!
Mick,Excellent experience,Excellent experience. Great massage.
customer,Fantastic experience,"Fantastic experience. Straightforward, simply booking process. Lovely and professional therapist. Will be utilising this service again and again."
Catherine,"Decided to book a massage, best decision ever!!","Decided to book a massage, found this company, downloaded the app, placed the booking and paid via PayPal all within minutes. The booking was then confirmed within the next hour or so and the company also contacted me to discuss what may not be able to confirmed but in the end wasn’t an issue at all and had my massage start an hour later and my word it was the best experience ever and I think I might book once a fortnight, why I didn’t try this earlier!!"
Casey,Great Service!,"Love their service, great for when you're in need of some relaxtion."
Remedial Therapist,As a Blys Therapist,I completed my first booking yesterday with Blys.
KM,Highly recommend,The communication and support before and after the booking was very encouraging.
customer,Great massage and service,I like the fact that if a client uses a referral code both the client and therapist receive $10
customer,Professional service,The commission we receive is also very fair.
Daniel,He came on time and he was really good…,Great Company.
customer,Highly recommended,"Great service, and really convenient as they come over. I’ve never had a bad massage through Blys."
customer,Grace was amazing..,Blys is a great massage business. It was easy to book and had a fantastic massage at home. Highly recommend Blys!
customer,Excellent service i am repeat customer…,He came on time and he was really good doing his job. Will do it again
Damien,Absolute convenience,Grace was amazing... loved it 👍
customer,One Word “AWESOME”,Excellent service i am repeat customer and have gifted to family
Happy Sydney Customer,Consistently good messages,Opted for deep tissue massage was very relaxing
customer,Always on time and very friendly and…,Absolute convenience! Highly recommend Blys to anyone.
customer,Fast efficient easy to use and…,"Absolutely AWESOME! Loved every minute of it! My Massage Therapist, Vanessa, was nothing short of amazing and I can honestly say that that is the BEST massage I have ever had! Thanks Blys! I will certainly be booking in again! K"
customer,A handy service for after hours massage…,Their people have been consistently high quality
customer,Fantastic service,Always on time and very friendly and professional. The massages are exactly as you ask for. Very reasonably priced for a mobile massage
customer,Love Blys,"Love Blys. The therapists are great, app easy to use and customer service was helpful. I recommend to my friends all the time"
customer,Such a great company,Such a great company! Love it
customer,Would not hesitate to use Blys again.,Quick and easy set up. Good service
customer,Quick and easy set up,"Fast, quick and reliable service not to mention a great massage thanks blys."
Kamal,5stars,Therapist was prompt professional and adjusted the massage to my specific needs post surgery. Was great to be able to get someone to come to my house.
Christian,Therapist was prompt professional and…,Really great service. Well done on creating it.
Brett Galvin,Really great service,The recent massage was excellent.  The therapist actually listened and helped to resolve my injury.
Customer,The recent massage was excellent,I totally love the service provided by Blys.  It could not possibly be more convenient to use.  The Blys iPhone app has improved significantly also.  Catherine is an outstanding masseuse - she has provided by far some of the best massages I've ever had.
customer,Good experience,"Professional, on time and one of the best massages I have had. Highly recommended."
Rob,Why go out for a massage when you can just use Blys?,I had the most relaxing Pregnancy massage with Jackie. The fact that I didn’t have to leave my own home to have it made it even better. I wouldn’t hesitate to book again 😊
Chris Bagley,Highly recommended,"Knowledge and strength combined, exactly what I needed!"
Julie,Pregnancy massage,It was fantastic. I booked late in the afternoon. Someone showed up that night who was awesome and the whole experience was seamless. I will definitely be using them again.
Lisa,Excellent!,Super easy to book and appointment was confirmed with a therapist working half an hour of making the booking for that night. Mobile is so convenient with little kids in house too.
Belinda,It was fantastic,Excellent! Smooth process from start to finish
customer,Super easy to book and appointment was…,"Great therapists and experience, the process is always so smooth and the best part is- u can have your massage in the convenience of your own home!"
customer,Excellent,"Seamless booking process and the therapist provided a great relaxing experience. The only improvement is in the booking confirmation process, as this was not very straight forward and intuitive, particularly when not using the app."
customer,Great therapists and experience,Very smooth booking process. Great at keeping you informed. Massage was professional
customer,Great experience!,The therapist I had KC was wonderful I will definitely be booking again on a regular basis.  I love the concept of not having to leave my home as I run our Family business from the home office so I can still get my nurturing all in the one location.  Awesome :)
Aydin,Booking was easy and Rachel from Blys…,Booking was easy and Rachel from Blys was excellent.
customer,Excellent company,Excellent company. Excellent staffs and massage therapists.
Paul,Excellent service,Excellent service. So professional.
customer,I was able to have a great massage…,I was able to have a great massage within a couple hours of booking in the comfort of my own home - with a new baby that convenience was ideal
Nic,Happy!,Easy App to use. Able to contact staff for help if needed. Great Therapists.
customer,"Very Professional "" Highly regard this…","Very Professional "" Highly regard this massage company and absolutely recommend them."
customer,Excellent service and brilliant staff…,Excellent service and brilliant staff across 3 capital cities.
Customer,Great service,"Great service, convenient, professional"
customer,Great massage,Great massage
Jess,Top service,punctual prepared cant fault will definitely book again
customer,It was easy and fast,Top service. Super easy. Massage therapist was amazing.
Helen,Stella was fantastic,"Easy to book with customisable options of therapist and area for notes. Therapist is professional, friendly and timely. Will be continuing to use Blys services for convenience especially given we just had a child, we can enjoy the comforts whilst being at home."
Dinkleboo,Easy to book with customisable options…,"Awesome massage. Friendly, knowledgeable therapist!!  Def book again!"
ROBYN,Awesome massage,My masseur Adrian was very professional he made me feel at ease and gave a very good massage targeting the areas we thought needed work
Barb customer,A great Massage,I would definitely recommend him
